source,title,doi,pii,authors,container_title,published,openaccess,url,abstract
sage,Bi-Stream Feature Extraction and Multiscale Attention Generative Adversarial Network (BM-GAN): Colorization of GrayScale Images Based on Bi-Stream Feature Fusion and Multiscale Attention Generative Adversarial Network,10.1177/30504554241297613,,Xiaoning Gao; Liju Yin; Yulin Deng; Feng Wang; Yiming Qin; Meng zhang,The European Journal on Artificial Intelligence,2025,,https://journals.sagepub.com/doi/pdf/10.1177/30504554241297613,"<jats:p>
            
            
            
            Image colorization is one of the core issues in computer vision that has attracted significant attention in recent years. Colorization technique improves the human eye’s ability to recognize grayscale images and understand scenes, particularly in low-light-level (LLL) images. However, current colorization methods still face issues, such as semantic confusion, color bleeding, and loss of image details. To address these issues, a bi-stream feature extraction and multiscale attention generative adversarial network (BM-GAN) is proposed. The bi-stream feature extraction block combines global and local features extracted from two parallel encoders. This combination improves the ability of the network to extract deep features from images. The multiscale attention block enhances key features related to the colorization target across channels and spatial dimensions. This results in higher-quality color images. The proposed method is evaluated on ImageNet, Summer2winter validation set, and LLL images. Experimental results show that BM-GAN reduces the feature-aware evaluation metrics learned perceptual image patch similarity and Fréchet inception distance by 5.2% and 7.5%, respectively.
          </jats:p>"
sage,Epistemic decay: Generative artificial intelligence and the recombination of culture,10.1177/02663821251369460,,Luke Tredinnick; Claire Laybats,Business Information Review,2025,,https://journals.sagepub.com/doi/pdf/10.1177/02663821251369460,
sage,Generative artificial intelligence and academic research: An editorial guide,10.1177/13548166251341693,,A George Assaf; Tarik Dogru; Raffaele Scuderi,Tourism Economics,2025,,https://journals.sagepub.com/doi/pdf/10.1177/13548166251341693,
sage,The dangers of generative artificial intelligence,10.1177/02663821231183756,,Luke Tredinnick; Claire Laybats,Business Information Review,2023,,http://journals.sagepub.com/doi/pdf/10.1177/02663821231183756,
sage,Neuroradiology and generative artificial intelligence: The indispensable human element,10.1177/19714009231203429,,Luca Saba,The Neuroradiology Journal,2023,,https://journals.sagepub.com/doi/pdf/10.1177/19714009231203429,
sage,Adaptive Treatment of Metastatic Prostate Cancer Using Generative Artificial Intelligence,10.1177/11795549241311408,,Youcef Derbal,Clinical Medicine Insights: Oncology,2025,,https://journals.sagepub.com/doi/pdf/10.1177/11795549241311408,"<jats:p> Despite the expanding therapeutic options available to cancer patients, therapeutic resistance, disease recurrence, and metastasis persist as hallmark challenges in the treatment of cancer. The rise to prominence of generative artificial intelligence (GenAI) in many realms of human activities is compelling the consideration of its capabilities as a potential lever to advance the development of effective cancer treatments. This article presents a hypothetical case study on the application of generative pre-trained transformers (GPTs) to the treatment of metastatic prostate cancer (mPC). The case explores the design of GPT-supported adaptive intermittent therapy for mPC. Testosterone and prostate-specific antigen (PSA) are assumed to be repeatedly monitored while treatment may involve a combination of androgen deprivation therapy (ADT), androgen receptor-signalling inhibitors (ARSI), chemotherapy, and radiotherapy. The analysis covers various questions relevant to the configuration, training, and inferencing of GPTs for the case of mPC treatment with a particular attention to risk mitigation regarding the hallucination problem and its implications to clinical integration of GenAI technologies. The case study provides elements of an actionable pathway to the realization of GenAI-assisted adaptive treatment of metastatic prostate cancer. As such, the study is expected to help facilitate the design of clinical trials of GenAI-supported cancer treatments. </jats:p>"
sage,Generative Artificial Intelligence as an Educational Collaborator: A Next-Generation Resource,10.1177/00400599251340611,,Kathy B. Ewoldt; Sara M. Flanagan,TEACHING Exceptional Children,2025,,https://journals.sagepub.com/doi/pdf/10.1177/00400599251340611,
sage,Detecting the knowledge structure of generative artificial intelligence research,10.1177/01655515251353188,,Xian Cheng; Peng Wu; Luoming Liang,Journal of Information Science,2025,,https://journals.sagepub.com/doi/pdf/10.1177/01655515251353188,"<jats:p>Since the introduction of ChatGPT, generative artificial intelligence (GenAI) has attracted significant attention in the academic community, leading to a surge in the publication of GenAI papers. It is essential to analyse and explore the research landscape of this growing body of literature. Unlike conventional literature analysis methods such as bibliometric analysis, this study utilises text mining and knowledge networks to offer a comprehensive review of the current knowledge structure in GenAI. To achieve this, we applied latent Dirichlet allocation to identify 15 research topics from 18,459 GenAI papers. In addition, we created knowledge networks for each research topic based on the thematic proximity of pairwise papers, enabling us to assess research concentration in each topic using four network metrics. Our research not only enhances understanding of the evolution of GenAI research but also expands the application of text mining and knowledge networks in literature analysis.</jats:p>"
sage,"Artificial intelligence encounters of the generative kind: Rethinking knowledge, ethics, and research",10.1177/02666669251358029,,Juan D. Machin-Mastromatteo,Information Development,2025,,https://journals.sagepub.com/doi/pdf/10.1177/02666669251358029,"<jats:p>This editorial introduces a special issue featuring 31 contributions that explore the intersections between Artificial Intelligence (AI) and adjacent fields, including education, healthcare, library and information science, organizational development, psychology, agriculture, and cultural studies. These represent a wide range of theoretical, methodological, applied, and socially engaged perspectives, organized into five thematic sections: (1) libraries, archives, and information professionals; (2) users; (3) researchers and implications for training researchers; (4) education and learning; and (5) organizations, other implementations and development. In addition to summarizing the key insights of the included articles, I reflect on my unexpected journey into AI-related research and conferences to provide additional comments. This special issue also forms part of that ongoing engagement. My reflections are structured into six overarching themes: (1) the main contributions of the articles in this special issue; (2) trust, adoption, and the transformation of human–AI ecosystems; (3) AI in education; (4) AI and literacies; (5) ethics, hallucinations, and academic integrity; and (6) perspectives for future research on AI. As a conclusion, I outline four possible scenarios for AI's near future: regulated and human-centered AI ecosystems; localized AI for development and inclusion; embedded AI in learning and knowledge; and unregulated acceleration and social fragmentation. These reflections aim to provide a guide to the special issue and can be helpful for researchers, practitioners, and institutions navigating the rapidly evolving AI landscape.</jats:p>"
sage,Architectural informatics self-hackathon workshop — Reassessing professional essence through generic and generative artificial intelligence,10.1177/14780771251335108,,Tsukasa Ishizawa,International Journal of Architectural Computing,2025,,https://journals.sagepub.com/doi/pdf/10.1177/14780771251335108,"<jats:p>This paper presents a novel self-hackathon workshop methodology integrating Large Language Models (LLM) and Generative AI (GenAI) into architectural education. The study addresses the critical shortage of digital talent in the Architecture, Engineering, and Construction (AEC) industry by developing a time-efficient framework that enables participants to engage with multiple emerging technologies while maintaining focus on core architectural competencies. The workshop methodology, successfully implemented in two distinct settings, demonstrates its effectiveness in facilitating rapid technological adaptation within a condensed 1.5-h timeframe using standard equipment. Results indicate high participant satisfaction and successful integration of physical computing, AI-driven dialogue, and virtual-physical space transformation. The framework catalyzes meaningful dialogue between human creativity and artificial intelligence in spatial design while providing valuable insights into redefining professional competencies in an AI-augmented future. This research contributes to architectural education by offering a flexible, scalable methodology that bridges the digital skills gap while emphasizing essential human capabilities that complement AI technologies.</jats:p>"
sage,Generative artificial intelligence and university libraries in Latin America,10.1177/03400352251348246,,Humberto Martínez-Camacho; César Saavedra-Alamillas; Josmel Pacheco-Mendoza; Juan D Machin-Mastromatteo,IFLA Journal,2025,,https://journals.sagepub.com/doi/pdf/10.1177/03400352251348246,"<jats:p>This article explores the use of generative artificial intelligence in Latin American university libraries, discussing both its potential benefits and challenges. It emphasizes how generative artificial intelligence, which is capable of generating text, video, images, music, and code, is revolutionizing library operations by automating tasks and enhancing research and reference services. The research involved a literature review and interviews with library directors from six prominent universities, revealing varied levels of generative artificial intelligence adoption, from experimental to fully integrated within institutional frameworks. The challenges include staff resistance, training deficiencies, and technological constraints. The study is optimistic about the future of generative artificial intelligence in academic libraries, recommending ongoing training and clear policy development for its successful and ethical implementation. Major service providers like EBSCO, Clarivate, and Elsevier are also noted for their role in supporting this digital transition.</jats:p>"
sage,"Generative artificial intelligence and academia: Implication for research, teaching and service",10.1177/13505076231201445,,Amon Barros; Ajnesh Prasad; Martyna Śliwa,Management Learning,2023,,https://journals.sagepub.com/doi/pdf/10.1177/13505076231201445,"<jats:p> In this editorial, we identify some of the opportunities and the consequences of generative artificial intelligence for academia. We discuss how generative artificial intelligence will affect the three main areas of an academic’s job responsibilities: research, teaching and service. To animate our ideas, we offer illustrative examples of how generative artificial intelligence will impact each of these areas. Further recognizing that generative artificial intelligence poses both opportunities and consequences for academia from a management learning perspective, we use examples that represent a positive and a negative outcome resultant of generative artificial intelligence to each of the three areas of academic responsibility. </jats:p>"
sage,Research on sports action training method based on generative confrontation network model and artificial intelligence,10.3233/jifs-189799,,Yang Yang,Journal of Intelligent &amp; Fuzzy Systems,2021,,https://content.iospress.com/download?id=10.3233/JIFS-189799,"<jats:p>In order to improve the effect of sports movement training, this paper builds a sports movement training model based on artificial intelligence technology based on the generation of confrontation network model. Moreover, in order to achieve the combination of model and model-free deep reinforcement learning algorithm, this paper implements the model’s guidance and constraints on deep reinforcement learning algorithm from the perspective of reward value and behavior strategy and divides the model into two situations. In one case, the existing or manually established expert rules are used as model constraints, which is equivalent to online learning by experts. In another case, expert samples are used as model constraints, and an imitation learning method based on generative adversarial networks is introduced. Moreover, using expert samples as training data, the mechanism that the model is guided by the reward value is combined with the model-free algorithm by generating a confrontation network structure. Finally, this paper studies the performance of the model through experimental research. The research results show that the model constructed in this paper has a certain effect.</jats:p>"
sage,Generative artificial intelligence and sustainability - The challenges,10.1177/10519815251353456,,David Woodruff Thomforde,"WORK: A Journal of Prevention, Assessment &amp; Rehabilitation",2025,,https://journals.sagepub.com/doi/pdf/10.1177/10519815251353456,"<jats:p>Generative artificial intelligence has great potential to increase productivity in many fields but also poses challenges in terms of use of scarce resources, sustainability and potential bias of results in favor of western cultures and against marginalized groups.</jats:p>"
sage,Does Artificial Intelligence Speak Our Language?: A Gadamerian Assessment of Generative Language Models,10.1177/10659129241243038,,Phillip Pinell,Political Research Quarterly,2024,,https://journals.sagepub.com/doi/pdf/10.1177/10659129241243038,"<jats:p> The language argument is a classic argument for human distinctiveness that, for millenia, has been used to distinguish humans from non-human animals. Generative language models (GLMs) pose a challenge to traditional language-based models of human distinctiveness precisely because they can communicate and respond in a manner resembling humanity’s linguistic capabilities. This article asks: have GLMs acquired natural language? Employing Gadamer’s theory of language, I argue that they have not. While GLMs can reliably generate linguistic content that can be interpreted as “texts,” they lack the linguistically mediated reality that language provides. Missing from these models are four key features of a linguistic construction of reality: groundedness to the world, understanding, community, and tradition. I conclude with skepticism that GLMs can ever achieve natural language because they lack these characteristics in their linguistic development. </jats:p>"
sage,SustAInable Employability: Sustainable Employability in the Age of Generative Artificial Intelligence,10.1177/10596011241238792,,Krisna Adiasto,Group &amp; Organization Management,2024,,https://journals.sagepub.com/doi/pdf/10.1177/10596011241238792,
sage,Generative artificial intelligence and learning: At the dawn of Idiocracy?,10.1177/13505076251348575,,Michal Izak; Amon Barros; Ajnesh Prasad; Martyna Śliwa,Management Learning,2025,,https://journals.sagepub.com/doi/pdf/10.1177/13505076251348575,"<jats:p>In this article, we reflect on the dark side of generative artificial intelligence. We identify several concerns associated with generative artificial intelligence in relation to knowledge processing and developing understanding, including misalignment between the artificial intelligence’s intended and actual use, its rhetorical duplicity, risk of technical dependence, negative impact on creativity and contextual understanding, overall decreased knowledge quality, the production of ‘illusory truths’, artificial intelligence’s progressive encapsulation and its exponential proliferation. We call for reflection on its potential implications for management learning, as well as for learning more broadly.</jats:p>"
sage,Start Generating: Harnessing Generative Artificial Intelligence for Sociological Research,10.1177/23780231241259651,,Thomas Davidson,Socius: Sociological Research for a Dynamic World,2024,,https://journals.sagepub.com/doi/pdf/10.1177/23780231241259651,"<jats:p> How can generative artificial intelligence (GAI) be used for sociological research? The author explores applications to the study of text and images across multiple domains, including computational, qualitative, and experimental research. Drawing upon recent research and stylized experiments with DALL·E and GPT-4, the author illustrates the potential applications of text-to-text, image-to-text, and text-to-image models for sociological research. Across these areas, GAI can make advanced computational methods more efficient, flexible, and accessible. The author also emphasizes several challenges raised by these technologies, including interpretability, transparency, reliability, reproducibility, ethics, and privacy, as well as the implications of bias and bias mitigation efforts and the trade-offs between proprietary models and open-source alternatives. When used with care, these technologies can help advance many different areas of sociological methodology, complementing and enhancing our existing toolkits. </jats:p>"
sage,Using Call Annie as a Generative Artificial Intelligence Speaking Partner for Language Learners,10.1177/00336882231224813,,Yuwei Wan; Benjamin Luke Moorhouse,RELC Journal,2024,,https://journals.sagepub.com/doi/pdf/10.1177/00336882231224813,"<jats:p>Developing English speaking skills can be challenging for many English language learners. The advent of generative artificial intelligence (GAI) has prompted the emergence of a growing number of artificial intelligence (AI)-powered chatbots designed to tackle these challenges. One popular tool is ‘Call Annie,’ a GAI video chatbot that can act as a virtual assistant, enabling users to engage in immersive video calls with AI avatars. This technology review discusses its functionality, how it can be used in supporting learners’ language development, how teachers can collaborate with it in class and its potential limitations.</jats:p>"
sage,“But I Didn’t Use ChatGPT!”: Democratic Course Design and Generative Artificial Intelligence in Higher Education Landscape,10.1177/0092055x251342530,,Hannah Judson,Teaching Sociology,2025,,https://journals.sagepub.com/doi/pdf/10.1177/0092055X251342530,"<jats:p>Generative artificial intelligence (genAI) has been in the news for the last several months, garnering attention for its supposed ability to replace human intelligence, with important implications for students and instructors in higher education. In this article, I propose a collaborative course design strategy to create a syllabus genAI use policy that is better equipped to handle the nuances of genAI use in higher education while also serving to democratize the classroom space in alignment with collaborative learning and teaching principles. I analyze the results of engaging this process over three consecutive semesters of sociology classes, including the created policies and my experiences enforcing them. Lastly, I reflect on how the activity changed as it was iterated on and how it might be adapted to alternate classroom contexts.</jats:p>"
sage,Facing the era of generative artificial intelligence: Strategies of information and digital literacy in Chinese studies,10.1177/03400352241291905,,Bing Wang; Cecilia Zhang; Khamo; Shuqi Ye,IFLA Journal,2024,,https://journals.sagepub.com/doi/pdf/10.1177/03400352241291905,"<jats:p> Since 30 November 2022, when OpenAI launched ChatGPT, generative artificial intelligence has emerged as a subject of growing prominence. Various academic divisions, including academic librarianship, are closely monitoring the potential impact of generative artificial intelligence on their respective futures. Esteemed librarian associations such as the Council on East Asian Libraries have actively utilized industry-wide conventions to foster scholarly conversations, discussions, and debates regarding the influence of generative artificial intelligence on librarianship. This project draws inspiration from such discourse and is conducted by four Chinese and East Asian studies librarians from four prestigious American universities. Based on extensive first-hand experiments, they conclude that amidst the opportunities and challenges presented by generative artificial intelligence, the specialized expertise and knowledge possessed by area studies specialists is increasingly significant in shaping its implications for their field. </jats:p>"
sage,"‘I, robot, can help you’. Applications of Generative Artificial Intelligence in RANZCP psychiatry training",10.1177/10398562251344470,,Shane Gill; Cherrie Galletly OAM,Australasian Psychiatry,2025,,https://journals.sagepub.com/doi/pdf/10.1177/10398562251344470,"<jats:sec>
            <jats:title>Objective</jats:title>
            <jats:p>The growing availability and sophistication of online generative artificial intelligence (GenAI) tools, such as ChatGPT, necessitates an exploration of their applications within the RANZCP Fellowship Training Program. This article examines how GenAI could be integrated into various areas, including trainee selection, workplace-based assessments, the Scholarly Project (SP), and the Psychotherapy Written Case (PWC). While GenAI offers benefits, trainees must understand that there are limitations on how these can be used with patient data. They should also be aware of the ethical and legal considerations surrounding the use of purpose-built medical scribe programs. For this paper, ChatGPT was employed to enhance language quality, without contributing to content generation.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Conclusion</jats:title>
            <jats:p>The accessibility and ease of use of GenAI present both opportunities and challenges. Given the limitations of AI detection software, the RANZCP will need to adapt to GenAI rather than attempt to regulate its use. Revisions to assessment methods, particularly those relying on written assignments, will be needed. As this is a rapidly evolving field, training programs should be continually updated to remain relevant.</jats:p>
          </jats:sec>"
sage,Applicant essays and recommendation letters in residency selection:How generative artificial intelligence is changing them,10.1177/10815589251331614,,Shigeki Matsubara,Journal of Investigative Medicine,2025,,https://journals.sagepub.com/doi/pdf/10.1177/10815589251331614,
sage,A multimodal grammar of artificial intelligence: Measuring the gains and losses in generative AI,10.1177/26349795231221699,,Bill Cope; Mary Kalantzis,Multimodality &amp; Society,2023,,https://journals.sagepub.com/doi/pdf/10.1177/26349795231221699,"<jats:p> This paper analyzes the scope of Artificial Intelligence (AI) from the perspective of a multimodal grammar. Its focal point is Generative AI, a technology that puts so-called Large Language Models to work. The first part of the paper analyzes Generative AI, based as it is on the statistical probability of one token (a word or part of a word) following another. If the relation of tokens is meaningful, this is circumstantial and no more, because its mechanisms of statistical analysis eschew any theory of meaning. This is the case not only for the written text that Generative AI leverages, but by extension image and multimodal forms of meaning that it can generate. The AI can only work with non-textual forms of meaning after applying language labels, and to that extent is captive not only to the limits of probabilistic statistics but the limits of written language as well. While acknowledging gains arising from the brute statistical power of Generative AI, in its second part the paper goes on to map what is lost in its statistical and text-bound approaches to multimodal meaning-making. Our measure of these gains and losses is guided by the concept of grammar, defined here as a theory of the elemental patterns of meaning in the world—not just written text and speech, but also image, space, object, body, and sound. Ironically, a good deal of what is lost by Generative AI is computable. The third and final part of the paper briefly discusses educational applications of Generative AI. Given both its power and intrinsic limitations, we have been experimenting with the application of Generative AI in educational settings and the ways it might be put to pedagogical use. How does a grammatical analysis help us to identify the scope of worthwhile application? Finally, if more of human experience is computable than can be captured in text-bound AI, how might it be possible at the level of code to create a synthesis in which grammatical and multimodal approaches complement Generative AI? </jats:p>"
sage,"Integrating Generative Artificial Intelligence into Social Science Research: Measurement, Prompting, and Simulation",10.1177/00491241251339184,,Thomas Davidson; Daniel Karell,Sociological Methods &amp; Research,2025,,https://journals.sagepub.com/doi/pdf/10.1177/00491241251339184,"<jats:p>Generative artificial intelligence (AI) offers new capabilities for analyzing data, creating synthetic media, and simulating realistic social interactions. This essay introduces a special issue that examines how these and other affordances of generative AI can advance social science research. We discuss three core themes that appear across the contributed articles: rigorous measurement and validation of AI-generated outputs, optimizing model performance and reproducibility via prompting, and novel uses of AI for the simulation of attitudes and behaviors. We highlight how generative AI enable new methodological innovations that complement and augment existing approaches. This essay and the special issue’s ten articles collectively provide a detailed roadmap for integrating generative AI into social science research in theoretically informed and methodologically rigorous ways. We conclude by reflecting on the implications of the ongoing advances in AI.</jats:p>"
sage,Generative artificial intelligence in public health research and scientific communication: A narrative review of real applications and future directions,10.1177/20552076251362070,,Kishwen K Yoga Ratnam,DIGITAL HEALTH,2025,,https://journals.sagepub.com/doi/pdf/10.1177/20552076251362070,"<jats:sec>
            <jats:title>Introduction</jats:title>
            <jats:p>Generative artificial intelligence (GenAI) tools such as ChatGPT-4o and Gemini are rapidly influencing public health research and communication. Their capacity to assist with drafting, summarising, and translating content offers significant potential, particularly in multilingual and resource-limited settings.This narrative review critically explored the adoption of GenAI tools in public health research and communication, focusing on their practical applications and ethical implications.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Methods</jats:title>
            <jats:p>This narrative review synthesised 18 recent peer-reviewed and grey literature (2023–2025) to explore the role of GenAI in public health research and communication. A hybrid human–AI approach was used, where colour-coded manual coding was combined with AI-supported thematic analysis. All AI-generated outputs were critically reviewed, verified, and refined by the author.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Results</jats:title>
            <jats:p>Five key themes were identified: (1) Supporting scientific research writing tasks; (2) enhancing language clarity and scientific tone; (3) bridging the gap between science and the public; (4) ethical concerns and quality assurance; and (5) future potential and the need for upskilling.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Discussion</jats:title>
            <jats:p>GenAI can democratise and accelerate public health research publication and communication, provided it is used transparently and critically. Human oversight and contextual judgement remain essential to ensure responsible use.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Conclusion</jats:title>
            <jats:p>With thoughtful implementation, GenAI can enhance human expertise in the realm of public health, academia and scientific communication. It offers an emerging opportunity to strengthen public health research and communication, particularly when supported by ethical guidelines, training, and institutional leadership.</jats:p>
          </jats:sec>"
sage,EXPRESS: Consumer Evaluations of Generative Artificial Intelligence Disclosures in Responses to Healthcare Reviews,10.1177/07439156251367762,,Javad Mousavi; Daniel Villanova,Journal of Public Policy &amp; Marketing,2025,,https://journals.sagepub.com/doi/pdf/10.1177/07439156251367762,"<jats:p>This paper explores the emerging use of generative artificial intelligence (GenAI) in customer service, focusing on responding to online reviews in the healthcare industry. We use real-world consumer reviews and experiments to investigate differences between GenAI- and human-generated responses to reviews, and to assess how they affect consumer perceptions. Importantly, consumers are generally unable to distinguish responses generated by GenAI from human responses. However, transparency about GenAI use significantly alters consumer perceptions, often negatively, but this negative effect varies depending on the source of disclosure and consumers’ subjective knowledge about GenAI. We discuss the implications for consumer privacy, welfare, and public policy, emphasizing the need for transparent GenAI use in customer service, especially within sensitive sectors like healthcare.</jats:p>"
sage,Comment on “Generative artificial intelligence chatbots may provide appropriate informational responses to common vascular surgery questions by patients”,10.1177/17085381241246090,,Hinpetch Daungsupawong; Viroj Wiwanitkit,Vascular,2024,,https://journals.sagepub.com/doi/pdf/10.1177/17085381241246090,
sage,"Using Generative AI to Promote Psychological, Feedback, and Artificial Intelligence Literacies in Undergraduate Psychology",10.1177/00986283241287203,,Jenny L. Richmond; Kate Nicholls,Teaching of Psychology,2024,,https://journals.sagepub.com/doi/pdf/10.1177/00986283241287203,"<jats:sec>
            <jats:title>Background</jats:title>
            <jats:p>With the arrival of generative artificial intelligence (genAI) tools, psychology educators are rethinking their assessment practices.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Objective</jats:title>
            <jats:p>This paper describes one approach to integrating genAI into an assessment designed to promote psychological literacy.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Method</jats:title>
            <jats:p>Students used ChatGPT to generate a media release about a published article and then wrote a critique. We evaluated whether students were able to use the marking rubric to assess the ChatGPT output, and whether working with the rubric early in the assessment process had benefits for their grades on subsequent tasks.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Results</jats:title>
            <jats:p>The results show that students accurately assessed the ChatGPT output against the marking rubric, judging the output to be stylistically good but lacking in accurate coverage of the aims, methods, and results of the research. Working with genAI and the marking rubric early in the assessment process had benefits for performance, relative to cohorts that had engaged in peer review.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Conclusion</jats:title>
            <jats:p>By allowing students to use genAI and scaffolding the process of critiquing and revising, students gained competencies in psychological, feedback, and AI literacies.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Teaching implications</jats:title>
            <jats:p>Integrating genAI presents opportunities for learning, if educators can think beyond the artifact and design assessment that allows our students to showcase their learning process.</jats:p>
          </jats:sec>"
